,Menuo,Is viso naudotu transporto priemoniu,Is ju M1 klases naudotu lengvuju automobiliu,Is viso nauju transporto priemoniu,Is ju M1 klases nauju lengvuju automobiliu
0,Sausis,12967,10491,4772,2072
1,Vasaris,14100,10834,4348,2009
2,Kovas,17669,12886,5991,2545
3,Balandis,17262,12613,5032,2323
4,Gegužė,17817,13173,6080,2678
5,Birželis,17198,12687,6014,3053
6,Liepa,16650,12368,4885,2329
7,Rugpjūtis,17569,13203,4563,2243
8,Rugsėjis,15967,12466,4594,2242
9,Iš viso,147199,110721,46279,21494
