,Mėnuo,FIAT,TOYOTA,VOLKSWAGEN,SKODA,PEUGEOT
0,Sausis,754,401,209,177,86
1,Vasaris,865,285,185,161,75
2,Kovas,929,418,301,181,169
3,Balandis,669,694,552,232,219
4,Gegužė,1193,644,413,251,246
5,Birželis,892,582,416,210,246
6,Liepa,424,676,424,267,220
7,Rugpjūtis,126,391,453,126,197
8,Rugsėjis,122,428,168,123,140
9,Spalis,61,276,144,115,126
10,Lapkritis,29,297,272,137,107
11,Gruodis,43,332,279,218,96
12,Iš viso,6107,5424,3816,2198,1927
